Agency,# Of Positions,Civil Service Title,Posting Date,Preferred Skills,Salary Range From (Annual),Salary Range To (Annual),Mean Annual Salary
BRONX DISTRICT ATTORNEY,1,COMMUNITY ASSOCIATE,2025-12-23,"A baccalaureate degree preferred or a high school diploma with four (4) years of work experience in a law firm, governmental agency, civic or community organization  A valid New York State driver’s license with a minimum of two (2) years of driving experience is required and must be maintained for the duration of employment  Exceptional organizational skills and strong attention to detail  Excellent interpersonal, oral, and written communication skills  Discretion and integrity to work on highly confidential investigations.  Ability to work in a fast-paced environment",56000,56000,56000
DEPT OF ENVIRONMENT PROTECTION,1,ASSISTANT CIVIL ENGINEER,2025-12-04,"•	Comfortable with entering sheeted trenches, sewers, manholes and underground chambers for inspections under all weather conditions.  •	Comfortable with off hour work •	Strong oral and written communication skills. •	Proficient in Microsoft Office suite •	Knowledge of water and sewer construction, and field experience on water and sewer jobs. •	Research capabilities.  A Motor Vehicle Driver’s License valid in the State of New York may be required. If required, this license must be maintained for duration of appointment.",66330,76279,71304
DEPARTMENT OF BUILDINGS,1,CIVIL ENGINEER,2026-02-02,"• Strong working knowledge of the NYC Construction Code, rules and bulletins. • Strong background and experience in design and construction. • Excellent written communication, verbal communication, and organizational skills. • Robust online research skills.",104720,120428,112574
DEPT OF HEALTH/MENTAL HYGIENE,1,ADMINISTRATIVE BUSINESS PROMOT,2025-12-30,,68214,120000,94107
DEPARTMENT OF BUILDINGS,1,INSPECTOR (ELECTRICAL FOR PAYR,2026-02-01,•  Working knowledge of the NYC Construction Codes and Electrical Code •  Computer literacy,63885,73468,68676
DEPT OF ENVIRONMENT PROTECTION,1,MECHANICAL ENGINEER,2025-12-22,,93614,130058,111836
BRONX DISTRICT ATTORNEY,4,ASSISTANT DISTRICT ATTORNEY (S,2025-12-04,,97000,178000,137500
DEPT OF HEALTH/MENTAL HYGIENE,1,SR HEALTHCARE PROG PLAN ANLYST,2025-11-26,,72497,91394,81946
DEPT OF ENVIRONMENT PROTECTION,1,ASSOCIATE PUBLIC HEALTH SANITA,2025-10-23,"1. Work experience researching and interpreting environmental, health and safety regulations and policies.  2. Excellent interpersonal and team skills.  3. Excellent oral communication skills; good written communication skills.  4. Work experience researching and interpreting FDNY and DOB codes and rules.  5. Strong time management and prioritization skills.  6. Proficiency in Microsoft Word and Excel.  7. Familiarity with PowerPoint; proficiency with Microsoft Access a plus but not needed.  8. Maintains good work habits and meet general assignments.   Preferred:   Working Instruments:  1. Office - computers and other office equipment. Field - four-gas air monitors; sound level meters; . .  mercury and ammonia gas meters; dosimetry equipment; others; DEP facilities are often under construction – proper precaution, including required PPE is necessary to safely access the location.   2. A valid driver's license is required   Health and Safety/Working Conditions:  Environment and Physical:  1. Duties include both field activities and office activities.  2. Office activities include using computers and other office equipment.  3. Field activities occur in Wastewater Treatment plants and sewage pump stations.  4. Transportation to facilities is by Agency vehicle, provided on as-needed basis.  5. This position may occasionally be required to work off hours, including early morning, evening, and weekends.",78250,118387,98318
DEPT OF DESIGN & CONSTRUCTION,1,CIVIL ENGINEER,2025-12-15,"Please note the following preferred skills for this position: 1.	Should have knowledge of various types of capital construction and consultant contracts. 2.	Candidate must be familiar with the Geographic Information System (GIS) to capture, store, and analyze geographical data for future implementation is a plus. 3.	Outstanding verbal and written communication skills in the English language. 4.Proficiency in Microsoft Office Applications. 5.	Familiarity with NYC DOT, NYS DOT, NYC DEP specifications, MUTCD, and AASHTO standards. 6.	Comprehensive understanding of the NYC infrastructure system and current engineering practices. 7.	Proficiency in Primavera P6 scheduling and Envision Sustainability Professional (ENV SP) credential (preferred) 8.Valid driver's license (Required) 9.Personal vehicle (Required)",78740,90551,84646
DEPT OF DESIGN & CONSTRUCTION,2,SUMMER COLLEGE INTERN,2026-01-08,"Preference will be given to candidates who are pursuing an undergraduate degree with a major in Data Science, Business Analytics, Computer Science, Mathematics, Statistics, or any other STEM field involving use of Data & Statistics. Competency with Python, SQL, Data Visualization Tools, and Concepts of Machine Learning ideal. Experience or knowledge in the construction domain is a plus.",34320,35360,34840
NYC HOUSING AUTHORITY,1,IT PROJECT SPECIALIST,2026-01-06,"1.	Proficiency with BI software (preferably Microsoft Power BI) and SQL or other software tools for big data and statistical analyses (e.g. R, Python, SAS, etc.) 2.	Ability to work independently and in a team environment to compile datasets, design & conduct data analyses, provide written interpretations of statistical analyses and to present findings in written reports and oral presentations. 3.	Data management skills including cleaning, aggregating, and matching large data sets for research and reporting. 4.	Experience developing analytic plans and conducting statistical analyses. 5.	Ability to work under stringent deadlines, manage multiple assignments, and handle sensitive information. 6.	Excellent verbal and written communication skills, including the ability to interface well with senior Authority management and external partners. 7.	Attention to detail in the presentation of reports, data visualizations, and data sets for distribution. 8.	Proficiency in Microsoft Office—Excel, Outlook, PowerPoint, and Word.",75000,160000,117500
DEPARTMENT OF CORRECTION,1,IT PROJECT SPECIALIST,2025-09-03,• Strong understanding of Flutter or React Native. • Familiar with CI/CD and mobile app deployment. • Excellent communication and interpersonal skills   to engage diverse audiences. • Demonstrated ability to build partnerships and drive    cross-functional collaboration. • A track record of successful technology ideation    and implementation projects.,120000,135000,127500
OFFICE OF MANAGEMENT & BUDGET,1,BUDGET ANALYST (OMB)-MANAGERIA,2025-10-31,,121768,145807,133788
ADMIN FOR CHILDREN'S SVCS,4,CHILD PROTECTIVE SPECIALIST SU,2026-01-20,,100050,121290,110670
DEPARTMENT OF FINANCE,1,IT PROJECT SPECIALIST,2026-01-27,"•Minimum 8-10 years of experience writing and maintaining automated test scripts to test data quality and system functionality with at least 3-years' experience as a technical lead. •Strong knowledge of agile practices and experience with agile planning tools (e.g., Jira). •Experience in performance test engineering and execution. •Experience with Structured Query Language (SQL) and running back-end/database queries for data set-up and verification. •Capability of translating and presenting technical concepts into practical business terms for leaders in both small and large group settings. •Experience with test management tools (e.g., TestRail, XRay, Qtest, Quality Center). •Experience with application security testing is a plus. •Experience in writing SQL (medium to complex) statements to test data mapping & requirements and perform extensive data analysis to identify the defect. •Experience in various testing methodologies, including Agile, Iterative, and Waterfall. Extensive experience in boundary testing, decision table testing, and state transitions testing. •Excellent written and oral communication skills and aptitude for cross-group collaboration. •Track record in improving an organization's data quality through the appropriate choice of error detection, process control and improvement, or process design strategies. •Ability to work in a fast-paced environment that includes an aggressive release schedule. •Ability to work on multiple work streams or projects simultaneously. •The ability to interact professionally with a diverse group, executives, managers, and subject matter experts. •Experience conducting performance testing for browser-based systems on PCs and mobile devices. •Capability of translating and presenting technical concepts into practical business terms for leaders in both small and large group settings. •Experience testing fintech and AI products is a strong plus. •Business domain experience in the Financial or municipal government sectors.",130000,140000,135000
BRONX DISTRICT ATTORNEY,1,COMMUNITY ASSOCIATE,2026-01-06,"- A Baccalaureate degree and (2) years of related experience preferred.  - Willingness to learn, and a proven or developing commitment to working in a sensitive and non-judgmental way.  - Strong organizational and communication skills.  - Ability to multitask and prioritize tasks in a fast-paced environment.  - Excellent analytical, logical thinking, and problem-solving skills.  - Excellent verbal and written communication skills.  - Knowledge of Microsoft Office, Data Analytic tools (ex . Power BI), Database Query Language (ex. SQL), Scripting languages (ex. Python/R), and Prosecution Case Management Systems  - Familiarity with legal terminology and court procedures preferred.  - Understanding of the criminal justice system used in New York State and New York City is preferred.  - Ability to exercise good judgment and strong ethics.  - Exhibit an ability to maintain the confidentiality of information.",55000,55000,55000
BRONX DISTRICT ATTORNEY,10,ASSISTANT DISTRICT ATTORNEY (S,2026-01-15,,97000,178000,137500
DEPT OF ENVIRONMENT PROTECTION,1,ADM ENGINEER (NON MGRL),2026-01-29,"• Knowledge of Microsoft Office Suite including Word, Excel, Power Point    • Working knowledge of AutoCAD    • Read, develop, and apply project plans and specifications    • Ability to perform basic mathematical and statistical calculations   • Technical Writing and Database Manipulation skills      • Communication, Decision Making, Time Management Skills    • Licensed and able to drive a motor vehicle",127622,127622,127622
CONSUMER AND WORKER PROTECTION,1,GENERAL INSPECTOR,2026-01-09,,54643,86000,70322
DEPT OF YOUTH & COMM DEV SRVS,1,COMMUNITY COORDINATOR,2025-11-21,"Familiar with and knowledge of New York City's Procurement Policy Board Rules, Citywide Procurement systems such as HHS Accelerator, FMS and PASSport.",62868,97593,80230
DEPT OF PARKS & RECREATION,1,COMMUNITY COORDINATOR,2026-01-23,"1.	Bachelor’s degree.  2.	Excellent writing, communication and organizational skills.   3.	Ability to work independently as well as collaboratively in a team environment. 4.	Proficiency in computer software including Microsoft Outlook, Word, Excel and Access. 5.	Ability to meet deadlines and initiate and manage multiple projects in a fast-paced environment. 6.	Valid New York State driver license.",62868,97593,80230
