Agency,# Of Positions,Civil Service Title,Posting Date,Preferred Skills,Salary Range From (Annual),Salary Range To (Annual),Mean Annual Salary
DEPT OF ENVIRONMENT PROTECTION,1,ADMINISTRATIVE ENGINEER,2026-01-20,,83718,223299,153508
DEPT OF DESIGN & CONSTRUCTION,1,ADM ENGINEER (NON MGRL),2025-12-19,"Candidate should process a minimum of 10-15 years of experience in commercial and institutional design/review experience in electrical engineering. Experience in multi-discipline design and construction-related issue resolution, including preparation of detailed sketches, construction documents, and specifications, and reviewing shop drawings of projects between 5 and 15 million dollars in construction cost is a plus. Familiarity with current Building codes, City Electrical and LEED requirements, the most current NYC Energy Conservation Code, Energy Analysis for Building Code Compliance, and renewable energy systems is preferred. Candidate must be proficient in AutoCAD, Microsoft Word, and Excel. The candidate must have good interpersonal, verbal, and writing skills and be skilled in resolving multi-discipline design and construction issues.",62407,108150,85278
DEPT OF CITYWIDE ADMIN SVCS,3,COLLEGE AIDE (ALL CITY DEPTS),2025-12-22,• Interpersonal and organizational skills. • Previous retail background or related work experience of customer service.,35360,36400,35880
BROOKLYN COMMUNITY BOARD #2,1,COMMUNITY ASSOCIATE,2026-01-30,"¿	Advanced prior Google Workspace and Microsoft 365 proficiency ¿	Advanced computing, data entry, database, and internet research skills ¿	Advanced verbal and written communication and interpersonal skills ¿	Excellent technical writing, proofreading, and editing skills ¿	Experience with Adobe Acrobat or other PDF organizing and editing tools ¿	Experience or interest in analytical tools such as Census data, Open Data, ACRIS, etc  ¿	Ability to self-direct and prioritize while managing concurrent projects on a small team ¿	Ability to be diplomatic and effective in a fast-paced, regulated workplace including daily contact with senior leadership of City and State agencies and elected offices ¿	Experience working with a multigenerational, socio-economically diverse population ¿	Experience in public communications, public policy, public service, urban planning, or other mission-driven work environments ¿	Experience with Zoom, Webex, Teams, or other digital meeting tools ¿	Growth mindset with a strong drive to take initiative, learn, and adapt  ¿	Native proficiency in any of the 12 Majority Languages of New York State is welcome",44545,74134,59340
DEPT OF DESIGN & CONSTRUCTION,3,ASSOCIATE PROJECT MANAGER,2025-12-18,"Please note the following preferred skills for this position:  1.	Should have three years or more of inspection experience and knowledge of various types of capital construction and consultant contracts. 2.	Possess construction experience related to infrastructure work (i.e., roadway, sewer, and/or water main) 3.	Outstanding verbal and written communication skills 4.	Proficiency in Microsoft Office and AutoCAD 5.	Familiarity with NYC DOT, NYS DOT, NYC DEP specifications, MUTCD, and AASHTO standards 6.	Comprehensive understanding of the NYC infrastructure system and current engineering practices 7.	Proficiency in Primavera P6 scheduling and Envision Sustainability Professional (ENV SP) credential (preferred) 8.	Valid driver's license (required) 9.	Personal vehicle (preferred)",76262,87701,81982
DEPT OF HEALTH/MENTAL HYGIENE,1,ASSOCIATE PUBLIC HEALTH SANITA,2025-10-14,,78250,89987,84118
DEPT OF DESIGN & CONSTRUCTION,1,ADMINISTRATIVE ENGINEER,2025-11-21,"Please note the following preferred skills for this position:  1.	Candidate should have at least four (4) years of experience in construction management, administration, or supervision.  2.	Outstanding verbal and written communication skills. 3.	Proficiency in Microsoft Office and Adobe Acrobat. 4.	Knowledge relevant to infrastructure construction work (i.e., roadway, sewer, and/or water main) 5.	Familiarity with NYC DOT, NYS DOT, NYC DEP specifications, MUTCD, and AASHTO standards 6.	Comprehensive understanding of the NYC infrastructure system and current engineering practices 7.	Envision Sustainability Professional (ENV SP) credential (Preferred) 8.	Valid driver's license (Required) 9.	Personal vehicle (Required)",75443,153210,114326
DEPT OF ENVIRONMENT PROTECTION,1,PROJECT MANAGER INTERN#,2025-12-29,,59888,68871,64380
DEPT OF DESIGN & CONSTRUCTION,1,STAFF ANALYST,2025-12-30,"•	Strong knowledge of NYC Procurement Policy Board Rules, Local Law 1, and related procurement regulations. •	Experience with government procurement processes, contract management, and vendor relations. •	Proficiency with Microsoft Excel and strong analytical and organizational skills. •	Familiarity with IT goods and services procurement, including software licensing and maintenance renewals. •	Excellent written and verbal communication skills. •	Ability to work independently and meet strict deadlines.",72595,83484,78040
DEPT OF ENVIRONMENT PROTECTION,1,INDUSTRIAL HYGIENIST,2025-11-26,"Computer Skills and Knowledge: MS Office including Excel and/or Access  Knowledge of Occupational Safety & Health and Environmental Laws and Regulations: Federal - 29 CFR 1910 & 1926 (OSHA); 40 CFR (EPA); RCRA, CERCLA/SARA, TSCA New York State – PESH, DEC New York City Administrative Code and Rules of the City of New York  Skills and Knowledge: 1) Communication Skills and Organization skills 2) Interpersonal Skills 3) Time Management 4) Analytical ability",65123,74892,70008
